Number,Title,Type
1,Tekken,3D
2,Tekken 2,3D
3,Tekken 3,3D
4,Mortal Kombat,3D
5,Mortal Kombat II,3D
6,Mortal Kombat 4,3D
7,Mortal Kombat Trilogy,3D
8,Street Fighter EX2 Plus,3D
9,Street Fighter EX Plus Alpha,3D
10,Capcom vs. SNK  Millennium Fight 2000 Pro,3D
11,Street Fighter Collection 2,3D
12,Air Hockey,3D
13,American Pool,3D
14,Armored Trooper Votoms - Lightning Slash (Japan),3D
15,Bowling,3D
16,Batman Forever - The Arcade Game,3D
17,BattleTanx - Global Assault,3D
18,Big League Slugger Baseball,3D
19,Big Strike Bowling,3D
20,Billiards,3D
21,Bomberman World,3D
22,Boxing,3D
23,Bubble Bobble Rainbow Islands,3D
24,Crash Bandicoot 3,3D
25,Digical League (J),3D
26,Honkakuha Bass Fishing Game - Lake Masters (Japan),3D
27,International Superstar Soccer Pro '98,3D
28,Kamen Rider Ryuki (J),3D
29,Pepsiman (J),3D
30,Shiritsu Justice Gakuen Legion Of Heroes (J),3D
31,Action Bass,3D
32,Soul Blade,3D
33,Thrasher - Skate and Destroy,3D
34,Tom and Jerry in House Trap,3D
35,Tomba! 2 - The Evil Swine Return,3D
36,Trick'n Snowboarder,3D
37,Polaris SnoCross,3D
38,Pocket Fighter,3D
39,NBA Showtime - NBA on NBC,3D
40,NBA Hangtime,3D
41,E.T. the Extra-Terrestrial - Interplanetary Mission,3D
42,Dragon Ball GT - Final Bout,3D
43,Creative Isle,3D
44,Bomberman Fantasy Race,3D
45,Bass Rise,3D
46,Assault - Retribution,3D
47,Battle Arena Toshinden,3D
48,Bloody Roar,3D
49,Darkstalkers - The Night Warriors,3D
50,G-Darius,3D
51,Marvel Super Heroes,3D
52,Tactics Ogre - Let Us Cling Together,3D
53,Tetris Plus,3D
54,Tony Hawk's Pro Skater 2,3D
55,WipEout,3D
56,X-Men Children of the Atom,3D
57,KOF 97,
58,KOF 97 Plus,
59,KOF 97 Oroshi Plus 2003,
60,KOF 98 Dream Match Never Ends,
61,KOF 99 Millennium Battle,
62,KOF 99 Millennium Battle (prototype),
63,KOF 10th Anniversary 2005 Unique,
64,KOF 10th Anniversary Extra Plus,
65,KOF 2000,
66,KOF 2001,
67,KOF 2002,
68,KOF 2002 Magic Plus,
69,KOF 2002 Magic Plus II (bootleg),
70,KOF 2002 Plus (set 2),
71,KOF 2002 Plus (set 1),
72,KOF 2003,
73,KOF 2004 Plus,
74,KOF 94,
75,KOF 95,
76,KOF 96,
77,KOF 2001 Plus,
78,KOF 2001 Plus (Ver 1),
79,KOF 2002 PlayStation 2 Edition,
80,KOF 2002 Super,
81,KOF 2002 Plus,
82,KOF 2004 Resurrection,
83,KOF 96 Plus (Ver 2),
84,KOF 96 Anniversary Edition,
85,KOF 97 10th Anniversary Chinese Edition,
86,KOF 97 Final Battle,
87,KOF 98 Anniversary Edition,
88,Metal Slug,
89,Metal Slug 2,
90,Metal Slug 2 Plus,
91,Metal Slug 3,
92,Metal Slug 3 Plus,
93,Metal Slug 3 (Enhanced Violence Version hack by EEZEZY),
94,Metal Slug 4,
95,Metal Slug 4 Plus,
96,Metal Slug 5,
97,Metal Slug 5 (Set 2),
