Number,Title,Type,ign_score,ign_user,ign_note
1,Tekken,3D,7.5,7,[]
2,Tekken 2,3D,6.2,7.6,[]
3,Tekken 3,3D,,,"['unable to get the rating', 'unable to get the user rating']"
4,Mortal Kombat,3D,8,8.3,[]
5,Mortal Kombat II,3D,7.3,8.2,[]
6,Mortal Kombat 4,3D,8,6.7,[]
7,Mortal Kombat Trilogy,3D,4.1,7.8,[]
8,Street Fighter EX2 Plus,3D,,,"['unable to get the rating', 'unable to get the user rating']"
9,Street Fighter EX Plus Alpha,3D,8.3,8.4,[]
10,Capcom vs. SNK  Millennium Fight 2000 Pro,3D,8.2,,['unable to get the user rating']
11,Street Fighter Collection 2,3D,8.4,10,[]
12,Air Hockey,3D,NR,-,[]
13,American Pool,3D,NR,6,[]
14,Armored Trooper Votoms - Lightning Slash (Japan),3D,,,"['unable to get the rating', 'unable to get the user rating']"
15,Bowling,3D,,,"['unable to get the rating', 'unable to get the user rating']"
16,Batman Forever - The Arcade Game,3D,5,5.5,[]
17,BattleTanx - Global Assault,3D,8.2,6.7,[]
18,Big League Slugger Baseball,3D,NR,-,[]
19,Big Strike Bowling,3D,NR,-,[]
20,Billiards,3D,NR,7,[]
21,Bomberman World,3D,7.8,8.2,[]
22,Boxing,3D,,,"['unable to get the rating', 'unable to get the user rating']"
23,Bubble Bobble Rainbow Islands,3D,,,"['unable to get the rating', 'unable to get the user rating']"
24,Crash Bandicoot 3,3D,,,"['unable to get the rating', 'unable to get the user rating']"
25,Digical League (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
26,Honkakuha Bass Fishing Game - Lake Masters (Japan),3D,,,"['unable to get the rating', 'unable to get the user rating']"
27,International Superstar Soccer Pro '98,3D,NR,9,[]
28,Kamen Rider Ryuki (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
29,Pepsiman (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
30,Shiritsu Justice Gakuen Legion Of Heroes (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
31,Action Bass,3D,5,-,[]
32,Soul Blade,3D,,,"['unable to get the rating', 'unable to get the user rating']"
33,Thrasher - Skate and Destroy,3D,8.5,-,[]
34,Tom and Jerry in House Trap,3D,4,6.2,[]
35,Tomba! 2 - The Evil Swine Return,3D,9,8.9,[]
36,Trick'n Snowboarder,3D,,,"['unable to get the rating', 'unable to get the user rating']"
37,Polaris SnoCross,3D,4.8,-,[]
38,Pocket Fighter,3D,8,7.8,[]
39,NBA Showtime - NBA on NBC,3D,6.9,8.5,[]
40,NBA Hangtime,3D,,,"['unable to get the rating', 'unable to get the user rating']"
41,E.T. the Extra-Terrestrial - Interplanetary Mission,3D,,,"['unable to get the rating', 'unable to get the user rating']"
42,Dragon Ball GT - Final Bout,3D,,,"['unable to get the rating', 'unable to get the user rating']"
43,Creative Isle,3D,,,"['unable to get the rating', 'unable to get the user rating']"
44,Bomberman Fantasy Race,3D,6.8,7.3,[]
45,Bass Rise,3D,5.5,,['unable to get the user rating']
46,Assault - Retribution,3D,5.5,-,[]
47,Battle Arena Toshinden,3D,7,6.7,[]
48,Bloody Roar,3D,8,7.1,[]
49,Darkstalkers - The Night Warriors,3D,6.5,7.4,[]
50,G-Darius,3D,,,"['unable to get the rating', 'unable to get the user rating']"
51,Marvel Super Heroes,3D,7,7.5,[]
52,Tactics Ogre - Let Us Cling Together,3D,8.5,8.6,[]
53,Tetris Plus,3D,6,8,[]
54,Tony Hawk's Pro Skater 2,3D,9.3,8.7,[]
55,WipEout,3D,,,"['unable to get the rating', 'unable to get the user rating']"
56,X-Men Children of the Atom,3D,,,"['unable to get the rating', 'unable to get the user rating']"
57,KOF 97,,,,"['unable to get the rating', 'unable to get the user rating']"
58,KOF 97 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
59,KOF 97 Oroshi Plus 2003,,,,"['unable to get the rating', 'unable to get the user rating']"
60,KOF 98 Dream Match Never Ends,,,,"['unable to get the rating', 'unable to get the user rating']"
61,KOF 99 Millennium Battle,,,,"['unable to get the rating', 'unable to get the user rating']"
62,KOF 99 Millennium Battle (prototype),,,,"['unable to get the rating', 'unable to get the user rating']"
63,KOF 10th Anniversary 2005 Unique,,,,"['unable to get the rating', 'unable to get the user rating']"
64,KOF 10th Anniversary Extra Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
65,KOF 2000,,,,"['unable to get the rating', 'unable to get the user rating']"
66,KOF 2001,,,,"['unable to get the rating', 'unable to get the user rating']"
67,KOF 2002,,,,"['unable to get the rating', 'unable to get the user rating']"
68,KOF 2002 Magic Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
69,KOF 2002 Magic Plus II (bootleg),,,,"['unable to get the rating', 'unable to get the user rating']"
70,KOF 2002 Plus (set 2),,,,"['unable to get the rating', 'unable to get the user rating']"
71,KOF 2002 Plus (set 1),,,,"['unable to get the rating', 'unable to get the user rating']"
72,KOF 2003,,,,"['unable to get the rating', 'unable to get the user rating']"
73,KOF 2004 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
74,KOF 94,,,,"['unable to get the rating', 'unable to get the user rating']"
75,KOF 95,,,,"['unable to get the rating', 'unable to get the user rating']"
76,KOF 96,,,,"['unable to get the rating', 'unable to get the user rating']"
77,KOF 2001 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
78,KOF 2001 Plus (Ver 1),,,,"['unable to get the rating', 'unable to get the user rating']"
79,KOF 2002 PlayStation 2 Edition,,,,"['unable to get the rating', 'unable to get the user rating']"
80,KOF 2002 Super,,,,"['unable to get the rating', 'unable to get the user rating']"
81,KOF 2002 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
82,KOF 2004 Resurrection,,,,"['unable to get the rating', 'unable to get the user rating']"
83,KOF 96 Plus (Ver 2),,,,"['unable to get the rating', 'unable to get the user rating']"
84,KOF 96 Anniversary Edition,,,,"['unable to get the rating', 'unable to get the user rating']"
85,KOF 97 10th Anniversary Chinese Edition,,,,"['unable to get the rating', 'unable to get the user rating']"
86,KOF 97 Final Battle,,,,"['unable to get the rating', 'unable to get the user rating']"
