Number,Title,Type,metacritic_metascore,meta_user,meta_note
1,Tekken,3D,,,"['unable to get the rating', 'unable to get the user rating']"
2,Tekken 2,3D,89.0,8.2,[]
3,Tekken 3,3D,96.0,9.0,[]
4,Mortal Kombat,3D,,6.5,['unable to get the rating']
5,Mortal Kombat II,3D,72.0,7.8,[]
6,Mortal Kombat 4,3D,,7.5,['unable to get the rating']
7,Mortal Kombat Trilogy,3D,,tbd,['unable to get the rating']
8,Street Fighter EX2 Plus,3D,,tbd,['unable to get the rating']
9,Street Fighter EX Plus Alpha,3D,,tbd,['unable to get the rating']
10,Capcom vs. SNK  Millennium Fight 2000 Pro,3D,74.0,8.8,[]
11,Street Fighter Collection 2,3D,,tbd,['unable to get the rating']
12,Air Hockey,3D,,tbd,['unable to get the rating']
13,American Pool,3D,,tbd,['unable to get the rating']
14,Armored Trooper Votoms - Lightning Slash (Japan),3D,,,"['unable to get the rating', 'unable to get the user rating']"
15,Bowling,3D,,tbd,['unable to get the rating']
16,Batman Forever - The Arcade Game,3D,,3.8,['unable to get the rating']
17,BattleTanx - Global Assault,3D,,tbd,['unable to get the rating']
18,Big League Slugger Baseball,3D,,tbd,['unable to get the rating']
19,Big Strike Bowling,3D,,tbd,['unable to get the rating']
20,Billiards,3D,,tbd,['unable to get the rating']
21,Bomberman World,3D,,tbd,['unable to get the rating']
22,Boxing,3D,,tbd,['unable to get the rating']
23,Bubble Bobble Rainbow Islands,3D,,,"['unable to get the rating', 'unable to get the user rating']"
24,Crash Bandicoot 3,3D,,,"['unable to get the rating', 'unable to get the user rating']"
25,Digical League (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
26,Honkakuha Bass Fishing Game - Lake Masters (Japan),3D,,,"['unable to get the rating', 'unable to get the user rating']"
27,International Superstar Soccer Pro '98,3D,,tbd,['unable to get the rating']
28,Kamen Rider Ryuki (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
29,Pepsiman (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
30,Shiritsu Justice Gakuen Legion Of Heroes (J),3D,,,"['unable to get the rating', 'unable to get the user rating']"
31,Action Bass,3D,51.0,tbd,[]
32,Soul Blade,3D,,,"['unable to get the rating', 'unable to get the user rating']"
33,Thrasher - Skate and Destroy,3D,,,"['unable to get the rating', 'unable to get the user rating']"
34,Tom and Jerry in House Trap,3D,,tbd,['unable to get the rating']
35,Tomba! 2 - The Evil Swine Return,3D,,tbd,['unable to get the rating']
36,Trick'n Snowboarder,3D,,tbd,['unable to get the rating']
37,Polaris SnoCross,3D,57.0,tbd,[]
38,Pocket Fighter,3D,,,"['unable to get the rating', 'unable to get the user rating']"
39,NBA Showtime - NBA on NBC,3D,,tbd,['unable to get the rating']
40,NBA Hangtime,3D,,tbd,['unable to get the rating']
41,E.T. the Extra-Terrestrial - Interplanetary Mission,3D,,,"['unable to get the rating', 'unable to get the user rating']"
42,Dragon Ball GT - Final Bout,3D,,tbd,['unable to get the rating']
43,Creative Isle,3D,,,"['unable to get the rating', 'unable to get the user rating']"
44,Bomberman Fantasy Race,3D,,tbd,['unable to get the rating']
45,Bass Rise,3D,,tbd,['unable to get the rating']
46,Assault - Retribution,3D,,tbd,['unable to get the rating']
47,Battle Arena Toshinden,3D,,,"['unable to get the rating', 'unable to get the user rating']"
48,Bloody Roar,3D,,tbd,['unable to get the rating']
49,Darkstalkers - The Night Warriors,3D,,,"['unable to get the rating', 'unable to get the user rating']"
50,G-Darius,3D,,,"['unable to get the rating', 'unable to get the user rating']"
51,Marvel Super Heroes,3D,,tbd,['unable to get the rating']
52,Tactics Ogre - Let Us Cling Together,3D,87.0,8.4,[]
53,Tetris Plus,3D,,tbd,['unable to get the rating']
54,Tony Hawk's Pro Skater 2,3D,91.0,8.4,[]
55,WipEout,3D,,tbd,['unable to get the rating']
56,X-Men Children of the Atom,3D,,,"['unable to get the rating', 'unable to get the user rating']"
57,KOF 97,,,,"['unable to get the rating', 'unable to get the user rating']"
58,KOF 97 Plus,,,,"['unable to get the rating', 'unable to get the user rating']"
59,KOF 97 Oroshi Plus 2003,,,,"['unable to get the rating', 'unable to get the user rating']"
