,0,1,2
0,,,0
1,,,
2,,,
3,,,
4,,,0
5,,,
6,Error,Error,Error
7,,,0
8,,,4
9,,,0
10,,,5.8
11,,,8.3
12,,,8
13,,,
14,,,
15,,,
16,,,
17,,,0
18,,,0
19,,,
20,,,
21,,,0
22,,,7.8
23,,,5.5
24,,,0
25,,,0
26,,,6.3
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,
34,,,
35,,,
36,,,0
37,,,
38,,,
39,,,0
40,5,70,7.2
41,,,0
42,,,
43,,,
44,,,
45,,,
46,,,5.6
47,,,0
48,,,7.1
49,,,8.3
50,,,
51,,,
52,,,
53,,,0
54,,,
55,,,
56,,,7.1
57,,,
58,,,
59,,,6.6
60,,,
61,,,0
62,,,
63,,,0
64,,,7.8
65,,,6.7
66,,,6.7
67,,,8.1
68,,,
69,,,
70,4.5,,6.6
71,,,
72,,,0
73,,71,0
74,,,0
75,,,8.2
76,,,0
77,,,6.7
78,,,0
79,,,8
80,,,6.7
81,,,
82,,,0
83,,,
84,,,
85,,,0
86,,,
87,,,
88,,,
89,,,
90,,,8.1
91,,,0
92,10,92,8.7
93,,,6.4
94,,,
95,,,
96,,,5
97,,,8
98,,,0
99,,,0
100,,,
101,,,0
102,,,7.2
103,,,4
104,,,
105,,,
106,,,
107,,,
108,,,0
109,,,8.2
110,,,7.3
111,,,
112,,,1
113,,,0
114,,,
115,,,
116,,,0
117,,,7.3
118,,,4.9
119,,,
120,,,0
121,,,
122,,74,5.9
123,,,
124,,,
125,,,8.1
126,,,8
127,,,
128,,,
129,,,
130,,,0
131,,,
132,,,0
133,,,
134,,,
135,,,8
136,,,
137,,,0
138,,,
139,,,
140,,,
141,,,7.1
142,,,6.6
143,,,
144,,,
145,,,8
146,,,0
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,7.1
159,,,7.4
160,,,5.7
161,,,0
162,,,
163,,,
164,,,7.6
165,,,0
166,,,0
167,,,
168,,,
169,,,6.9
170,,,
171,,,0
172,,,
173,,,
174,7.6,,8.5
175,8.1,77,8.6
176,,,
177,,,
178,,,7.9
179,6.8,76,7.5
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,6.6
187,,,--
188,,,0
189,,,0
190,,,
191,,,0
192,,,8.6
193,,,
194,,,7.7
195,,,
196,3,,6.9
197,,,6
198,,,
199,,,
200,,,0
201,,,3.6
202,,,
203,,,
204,6.5,,7.1
205,,,
206,,,0
207,,,
208,,,0
209,,,
210,,,
211,,,
212,,,
213,,,0
214,,,0
215,,,
216,,,
217,,,0
218,,,0
219,,,
220,,,
221,,,0
222,,,
223,,,0
224,,,8.2
225,,,
226,,,6.6
227,,,8.1
228,,,
229,4.5,,6.9
230,,,6.2
231,,,
232,,,
233,,,0
234,,,
235,,,
236,,,
237,,,0
238,,,
239,,,
240,,,
241,,,0
242,,,0
243,,,0
244,,,
245,,,0
246,,,
247,2.5,39,6.3
248,,,0
249,,,
250,,,8
251,,,
252,,,
253,,,0
254,,,
255,,,0
256,,,8.1
257,,,7.8
258,,,0
259,,,0
260,,,
261,,,--
262,,,
263,,,
264,,,
265,,,0
266,,,
267,,,10
268,,,0
269,,,
270,,,
271,,,0
272,,,7.7
273,,,9
274,,,0
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,7.5
283,,,
284,,,0
285,,,
286,,,0
287,,,
288,,,
289,,,
290,,,
291,,,0
292,,,
293,,,
294,,,8.4
295,,,7
296,,,9.2
297,,,
298,,,0
299,,,
300,,,7.3
301,,,
302,,,
303,,,0
304,,,0
305,,,0
306,,,
307,,70,6.4
308,,,8
309,,,
310,,,0
311,,,0
312,,,7.5
313,,,7.5
314,,,
315,,,
316,,,
317,,,
318,,,0
319,,,0
320,,,
321,,,
322,,,
323,7.3,65,7.7
324,,,
325,,,0
326,,,
327,,,
328,,,
329,,,7.1
330,,,7.7
331,,,0
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,0
338,,,
339,,,
340,,,7.9
341,,,
342,,,
343,,,0
344,,,
345,,,6.6
346,,,
347,,,
348,,,
349,,,
350,,,9.5
351,,,8.2
352,,,
353,,,0
354,,,
355,,,0
356,,,0
357,7.7,,8.2
358,,,
359,,,6.6
360,,,7.9
361,,,8
362,,,0
363,,,0
364,,,7.6
365,,,
366,,,
367,,,8
368,,,
369,,,
370,,,0
371,,,0
372,,,
373,,,
374,,,
375,,,
376,,,0
377,,,
378,,,2
379,,,
380,,,0
381,,,
382,,,
383,,,
384,,,
385,,,0
386,,,9.1
387,,,
388,,,
389,,,0
390,,,
391,,,0
392,,,
393,,,
394,,,
395,6.9,43,4.9
396,,,0
397,7.2,,7.7
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,8.3
406,,,
407,,,0
408,,,
409,,,
410,,,
411,,,0
412,,,
413,,,0
414,,,
415,,,
416,,,0
417,,,0
418,,,
419,,,
420,,,8
421,,,
422,,75,9.3
423,,,
424,,,
425,,,10
426,,,
427,,,
428,,,
429,,,6.3
430,,,0
431,,,0
432,,,0
433,,,
434,,,
435,,,
436,,,
437,,,6.6
438,,,
439,,,
440,,,
441,,,
442,,,0
443,,,
444,,,
445,,,0
446,,,
447,,,
448,,,
449,,,7.5
450,,,
451,5.4,71,7.2
452,,,8.3
453,,,0
454,,,
455,,,
456,,,0
457,,,
458,,,0
459,,,
460,,,
461,,,
462,,,
463,,,--
464,9,89,8.3
465,,,
466,,,6.6
467,,,
468,,,8.3
469,,,
470,,,
471,,,6.3
472,,,
473,,,
474,,,
475,,,7.6
476,,,
477,,,
478,,,
479,,,
480,,,0
481,,,
482,,,0
483,,,0
484,,,
485,,,8.6
486,,,
487,,,
488,,,0
489,,,0
490,,,6.5
491,,,0
492,,,
493,,,
494,,,
495,,,5.4
496,,,
497,,,9
498,,,
499,,,
500,,,
501,,,8.5
502,,,
503,,,7
504,,,
505,,,0
506,,,0
507,,,0
508,,,
509,,,
510,,,0
511,,,0
512,,,
513,,,
514,,,
515,,,0
516,,,
517,,,
518,,,
519,,,7.7
520,,,
521,,,5.9
522,,,
523,,,
524,,,5.5
525,,,
526,,,1
527,,,9.1
528,,,
529,,,0
530,,,8
531,,,6
532,,,0
533,,,6.5
534,,,0
535,,,
536,,,
537,,,
538,,,
539,,,0
540,,,8.2
541,,,8.2
542,4.6,69,8.1
543,,,
544,,,
545,,,
546,,,
547,,,0
548,,,
549,,,
550,,,
551,,,0
552,,,6.8
553,,,0
554,,,
555,,,
556,,,
557,,,
558,,,
559,,,10
560,,,
561,,,
562,,,7.5
563,,,--
564,,,
565,,,0
566,,,
567,,,
568,,,
569,,,0
570,,,0
571,,,6.8
572,7.2,,7.5
573,,,
574,,,
575,,,
576,,,
577,,,
578,,,7.9
579,,,6.8
580,,,8.3
581,,,
582,,,7.6
583,,,
584,,,
585,,,7.8
586,,,
587,4,,6.6
588,,,
589,,,
590,,,7.9
591,,,
592,,,7.7
593,,,
594,,,
595,,,7.9
596,,,
597,,,
598,,,
599,,,
600,,,8
601,,,
602,,,
603,,,6.5
604,6.7,,7
605,,,0
606,,,0
607,,,
608,,,0
609,,,
610,,,7.9
611,,,7.1
612,,,
613,,,6.5
614,,,10
615,,,0
616,,,0
617,,,
618,,,
619,,,5.8
620,,,
621,,,0
622,,,
623,,,
624,,,
625,,,
626,,,
627,,,
628,,,0
629,,,
630,,,0
631,,,
632,,,7.2
633,,,7
634,,,6.4
635,,,7
636,,,7.7
637,,,6.8
638,,,
639,,,
640,,,0
641,,,
642,,,8.2
643,,,6.5
644,,,7.8
645,,,
646,,,0
647,,,0
648,,,5.1
649,,,
650,,,
651,,,
652,6,,7.5
653,,,7.6
654,7.3,76,8.1
655,,72,8.1
656,,,
657,,,
658,,,
659,5.8,73,7.7
660,,63,8
661,,,
662,,,
663,5,53,5.3
664,,,0
665,,,7.7
666,,,
667,,,
668,,,8.1
669,,,
670,,,8
671,,,
672,,,
673,,71,6.8
674,,,
675,,,0
676,,,
677,,,
678,,,0
679,,,7.6
680,,,
681,,,8
682,,,0
683,,,3
684,,,
685,,,
686,,,
687,,,0
688,,,
689,,,
690,,,
691,,,0
692,,,7.1
693,6.5,61,8.1
694,,,--
695,,,
696,,,0
697,,,
698,,,0
699,,,
700,,,8.4
701,,,0
702,,,
703,,,
704,,,
705,,,
706,,,0
707,,,7
708,,,
709,,,6.3
710,,,0
711,,,
712,,,7.4
713,,,8.5
714,,,4.4
715,,,
716,,,8.3
717,,,
718,,,
719,,,8.3
720,,,
721,,,0
722,,,0
723,,,
724,,,
725,,,0
726,,,
727,,,--
728,,,
729,,,
730,,,7.5
731,,,0
732,,,
733,,,7.6
734,,,
735,,,--
736,,,
737,,,
738,,,0
739,,,8.2
740,,70,8.7
741,,,
742,,,
743,,,6.4
744,,,0
745,,,0
746,,,0
747,,,0
748,3.3,,7.8
749,,,
750,,,7.4
751,,,
752,,,0
753,,,
754,,,0
755,,,
756,,,0
757,,,
758,,,
759,,,0
760,,,0
761,,,7.3
762,,,0
763,,,0
764,,,7.9
765,,,
766,,,
767,,,5.3
768,,,
769,,,0
770,,,
771,,,7.6
772,,,
773,,,0
774,,,
775,,,
776,,,
777,7.9,75,7.7
778,,,
779,,,
780,,,
781,,,0
782,,,0
783,,,7.3
784,,,
785,,,0
786,,,
787,,,
788,7.4,,7.6
789,,,
790,,,
791,,,
792,,,6
793,,,
794,,,0
795,,,0
796,,,
797,,,0
798,Error,Error,Error
799,,,0
800,,,7
801,,,
802,,,8.4
803,,,9
804,,,0
805,,,
806,,,
807,,,
808,,,0
809,,,
810,,,
811,,,
812,,,
813,,,
814,,,5.9
815,7.6,83,8.2
816,,,
817,,,
818,,,0
819,,,7.3
820,,,7.9
821,,,
822,,,7.2
823,,,7
824,,,0
825,,,5.8
826,,,
827,,,--
828,,,0
829,,,0
830,,,
831,,,
832,,,0
833,,,
834,,,
835,,,
836,,,
837,,,
838,,,0
839,,,
840,,,7.8
841,,,
842,,,
843,,,
844,,,
845,,,
846,,,5.5
847,,,5.9
848,,,0
849,,,
850,,,7
851,,,0
852,,,0
853,,,
854,,,5.4
855,,,
856,,,
857,,,7.9
858,,,7.3
859,,,
860,,,
861,,,
862,,,0
863,,,
864,,,
865,,,0
866,,,5.8
867,,,
868,,,5.6
869,,,
870,,,8.7
871,8,77,7.5
872,,,
873,,,
874,,,0
875,,,0
876,,,0
877,,,0
878,,,
879,,,
880,1.3,,2.6
881,,,7.9
882,,,5.9
883,,,0
884,,,0
885,,,
886,,,8
887,,,0
888,,,
889,,,0
890,,,0
891,,,
892,,,4.2
893,,,
894,,,
895,,,
896,,,
897,,,
898,,,7.6
899,,,
900,,,
901,,,0
902,,,
903,,,0
904,,,
905,,,
906,,,7.8
907,,,
908,,,0
909,,,0
910,,,0
911,4.8,56,3.8
912,,,6.1
913,,,
914,,,5
915,,,
916,,,0
917,,,7
918,,,0
919,,,0
920,,,
921,,,
922,,,0
923,,,
924,,,0
925,,,0
926,,,
927,,,
928,,,8.1
929,,,
930,,,
931,,,6.8
932,,,
933,,,6
934,,,
935,,,
936,,,
937,,,
938,,,
939,,,
940,,,
941,,,6.5
942,,,
943,,,7
944,,,0
945,,,8
946,,,
947,,,--
948,,,
949,6,67,7
950,,,
951,,,8.5
952,,,0
953,,,0
954,,,
955,,,
956,,,9.5
957,,,
958,,,6.6
959,,,0
960,,,
961,,,5.1
962,,,
963,,,6.6
964,,,0
965,,,5.4
966,,,0
967,7,63,7.3
968,,,0
969,,,
970,,,8.5
971,,,
972,,,8.4
973,,,
974,,,
975,,,
976,2.7,,7.3
977,5.5,60,8.3
978,,,
979,,,
980,,,
981,,,7.3
982,,,
983,,,
984,,,
985,,,
986,,,
987,,,7.6
988,,,
989,,,0
990,,,8
991,,,
992,,,0
993,,,
994,,,
995,,,
996,,,6.2
997,,,0
998,,,
999,,,
